Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,Weekly Wages,Annual Wages,Cluster
Saïd Benrahma,ALG,FW,West Ham, Premier League,26,1995,35,22,2069.0,23.0,6,3,9,2,4,4,0,0,7.0,3.9,4.5,8.4,109.0,82.0,237.0,0.26,0.13,0.39,0.09,0.22,0.31,0.2,0.5,0.17,0.36,69905,3635081,0
Ramy Bensebaini,ALG,DF,M'Gladbach,Bundesliga,27,1995,28,28,2481.0,27.6,6,1,7,4,2,2,7,1,5.3,3.7,2.3,6.0,40.0,101.0,98.0,0.22,0.04,0.25,0.15,0.18,0.19,0.08,0.28,0.13,0.22,39953,2077575,2
Nabil Bentaleb,ALG,MF,Angers,Ligue 1,27,1994,30,29,2489.0,27.7,4,4,8,2,2,2,7,1,3.2,1.6,2.3,3.9,46.0,176.0,28.0,0.14,0.14,0.29,0.07,0.22,0.11,0.08,0.2,0.06,0.14,16402,852899,2
Rodrigo Bentancur,URU,MF,Tottenham, Premier League,25,1997,18,17,1500.0,16.7,5,2,7,5,0,0,8,0,2.2,2.2,0.8,3.1,26.0,76.0,19.0,0.3,0.12,0.42,0.3,0.42,0.13,0.05,0.18,0.13,0.18,95326,4956928,0
Karim Benzema,FRA,FW,Real Madrid,La Liga,34,1987,24,24,2038.0,22.6,19,3,22,12,7,8,1,0,21.5,14.9,5.8,20.7,72.0,138.0,157.0,0.84,0.13,0.97,0.53,0.66,0.95,0.26,1.2,0.66,0.91,504674,26243054,0
Domenico Berardi,ITA,FW,Sassuolo,Serie A,27,1994,26,22,1866.0,20.7,12,7,19,5,7,8,7,0,11.4,5.1,6.6,11.7,57.0,114.0,213.0,0.58,0.34,0.92,0.24,0.58,0.55,0.32,0.87,0.24,0.56,116916,6079641,0
Yuri Berchiche,ESP,DF,Athletic Club,La Liga,32,1990,29,27,2406.0,26.7,1,1,2,1,0,0,9,1,1.3,1.3,1.4,2.7,59.0,179.0,95.0,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.1,0.05,0.1,90000,4680011,2
Álex Berenguer,ESP,FW,Athletic Club,La Liga,27,1995,37,26,2297.0,25.5,4,1,5,4,0,0,2,0,4.3,4.3,4.6,9.0,73.0,77.0,249.0,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35,35748,1858883,2
Bartosz Bereszyński,POL,DF,Sampdoria,Serie A,30,1992,15,15,1198.0,13.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,20.0,44.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,17453,907572,0
Mergim Berisha,GER,FW,Augsburg,Bundesliga,24,1998,23,20,1679.0,18.7,9,4,13,6,3,4,9,1,8.1,5.0,2.7,7.6,20.0,28.0,99.0,0.48,0.21,0.7,0.32,0.54,0.43,0.14,0.58,0.27,0.41,59509,3094493,0
Quentin Bernard,FRA,DF,Auxerre,Ligue 1,33,1989,7,7,630.0,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,4.0,27.0,14.0,0.0,0.14,0.14,0.0,0.14,0.0,0.08,0.08,0.0,0.08,6098,317104,1
Paul Bernardoni,FRA,GK,Angers,Ligue 1,25,1997,27,27,2430.0,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25234,1312153,2
