Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,Weekly Wages,Annual Wages,Cluster
Simon Kjær,DEN,DF,Milan,Serie A,33,1989,17,12,1007.0,11.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,3.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40374,2099444,0
Mateusz Klich,POL,MF,Leeds United, Premier League,32,1990,14,0,280.0,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,5.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.12,0.05,0.12,31775,1652309,1
Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,26,1996,15,10,907.0,10.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,5.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,109346,5685995,1
Justin Kluivert,NED,FW,Valencia,La Liga,23,1999,26,15,1447.0,16.1,6,0,6,5,1,1,4,0,6.6,5.9,2.4,8.2,58.0,33.0,126.0,0.37,0.0,0.37,0.31,0.31,0.41,0.15,0.56,0.36,0.51,78855,4100477,0
Ansgar Knauff,GER,DF,Eint Frankfurt,Bundesliga,20,2002,24,14,1286.0,14.3,1,1,2,1,0,0,1,0,0.9,0.9,1.6,2.5,47.0,40.0,74.0,0.07,0.07,0.14,0.07,0.14,0.06,0.12,0.18,0.06,0.18,3365,174954,0
Robin Knoche,GER,DF,Union Berlin,Bundesliga,30,1992,32,32,2873.0,31.9,2,3,5,1,1,2,4,0,2.4,0.8,0.8,1.6,12.0,98.0,6.0,0.06,0.09,0.16,0.03,0.13,0.07,0.03,0.1,0.03,0.05,31542,1640191,2
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,24,1997,27,27,2430.0,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42897,2230660,2
Robin Koch,GER,DF,Leeds United, Premier League,26,1996,36,36,3175.0,35.3,0,0,0,0,0,0,7,0,1.5,1.5,0.4,1.9,11.0,114.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,50840,2643695,2
Dominik Kohr,GER,MF,Mainz 05,Bundesliga,28,1994,30,27,2292.0,25.5,3,0,3,3,0,0,11,0,2.3,2.3,1.0,3.3,17.0,144.0,39.0,0.12,0.0,0.12,0.12,0.12,0.09,0.04,0.13,0.09,0.13,25023,1301218,2
Koke,ESP,MF,Atlético Madrid,La Liga,30,1992,33,30,2545.0,28.3,0,3,3,0,0,0,4,0,0.8,0.8,1.7,2.5,15.0,175.0,37.0,0.0,0.11,0.11,0.0,0.11,0.03,0.06,0.09,0.03,0.09,336449,17495370,2
Sead Kolašinac,BIH,DF,Marseille,Ligue 1,29,1993,33,26,2214.0,24.6,4,1,5,4,0,0,3,0,4.1,4.1,0.9,5.1,49.0,109.0,86.0,0.16,0.04,0.2,0.16,0.2,0.17,0.04,0.21,0.17,0.21,54252,2821128,2
Randal Kolo Muani,FRA,FW,Eint Frankfurt,Bundesliga,23,1998,32,31,2631.0,29.2,15,11,26,13,2,2,6,1,13.2,11.6,6.5,18.1,97.0,61.0,240.0,0.51,0.38,0.89,0.44,0.82,0.45,0.22,0.67,0.4,0.62,31542,1640191,2
Ibrahima Konaté,FRA,DF,Liverpool, Premier League,23,1999,18,17,1552.0,17.2,0,0,0,0,0,0,5,0,1.2,1.2,0.1,1.4,7.0,56.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,88971,4626466,0
Geoffrey Kondogbia,CTA,MF,Atlético Madrid,La Liga,29,1993,20,10,1006.0,11.2,0,2,2,0,0,0,5,0,0.7,0.7,0.9,1.6,6.0,42.0,5.0,0.0,0.18,0.18,0.0,0.18,0.07,0.08,0.14,0.07,0.14,145094,7544878,0
Ibrahima Koné,MLI,FW,Lorient,Ligue 1,23,1999,37,15,1577.0,17.5,7,1,8,5,2,3,3,0,5.6,3.2,1.0,4.3,15.0,27.0,109.0,0.4,0.06,0.46,0.29,0.34,0.32,0.06,0.38,0.18,0.24,5257,273365,0
Kouadio Koné,FRA,MF,M'Gladbach,Bundesliga,21,2001,30,30,2608.0,29.0,1,1,2,1,0,0,12,0,1.2,1.2,1.3,2.5,59.0,166.0,55.0,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09,7360,382711,2
Youssouf Koné,MLI,DF,Ajaccio,Ligue 1,27,1995,13,12,916.0,10.2,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,14.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,28598,1487106,1
Ezri Konsa, ENG,DF,Aston Villa, Premier League,24,1997,38,37,3322.0,36.9,0,0,0,0,0,0,6,0,1.1,1.1,1.3,2.3,7.0,56.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,38130,1982771,2
Teun Koopmeiners,NED,MF,Atalanta,Serie A,24,1998,33,32,2858.0,31.8,10,4,14,8,2,4,7,0,7.6,4.3,6.4,10.7,60.0,186.0,106.0,0.31,0.13,0.44,0.25,0.38,0.24,0.2,0.44,0.14,0.34,40374,2099444,2
Odilon Kossonou,CIV,DF,Leverkusen,Bundesliga,21,2001,24,17,1523.0,16.9,0,1,1,0,0,0,3,0,0.2,0.2,0.1,0.3,26.0,77.0,16.0,0.0,0.06,0.06,0.0,0.06,0.01,0.01,0.02,0.01,0.02,34276,1782341,0
Filip Kostić,SRB,DF,Juventus,Serie A,29,1992,37,33,2564.0,28.5,3,8,11,3,0,0,3,0,2.4,2.4,7.1,9.4,101.0,78.0,230.0,0.11,0.28,0.39,0.11,0.39,0.08,0.25,0.33,0.08,0.33,67500,3510009,2
Christian Kouamé,CIV,FW,Fiorentina,Serie A,24,1997,28,22,1866.0,20.7,4,4,8,4,0,0,5,0,5.3,5.3,3.7,9.0,50.0,54.0,203.0,0.19,0.19,0.39,0.19,0.39,0.26,0.18,0.43,0.26,0.43,46682,2427483,0
Rominigue Kouamé,MLI,MF,Troyes,Ligue 1,25,1996,32,31,2661.0,29.6,1,1,2,1,0,0,9,0,1.4,1.4,2.1,3.5,59.0,169.0,36.0,0.03,0.03,0.07,0.03,0.07,0.05,0.07,0.12,0.05,0.12,13879,721684,2
Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,29,1992,11,11,990.0,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21028,1093461,0
Kalidou Koulibaly,SEN,DF,Chelsea, Premier League,31,1991,23,20,1800.0,20.0,2,1,3,2,0,0,7,1,0.9,0.9,0.4,1.4,10.0,81.0,4.0,0.1,0.05,0.15,0.1,0.15,0.05,0.02,0.07,0.05,0.07,374947,19497250,0
Jules Koundé,FRA,DF,Barcelona,La Liga,23,1998,29,28,2426.0,27.0,1,3,4,1,0,0,2,0,1.1,1.1,2.8,3.9,58.0,185.0,61.0,0.04,0.11,0.15,0.04,0.15,0.04,0.1,0.15,0.04,0.15,284931,14816391,2
Cheikhou Kouyaté,SEN,MF,Nott'ham Forest, Premier League,32,1989,21,10,882.0,9.8,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.1,6.0,19.0,14.0,0.1,0.0,0.1,0.1,0.1,0.04,0.07,0.11,0.04,0.11,57195,2974157,1
Mateo Kovačić,CRO,MF,Chelsea, Premier League,28,1994,27,17,1707.0,19.0,1,2,3,1,0,0,8,0,1.8,1.8,2.1,3.9,37.0,153.0,30.0,0.05,0.11,0.16,0.05,0.16,0.09,0.11,0.2,0.09,0.2,127101,6609237,0
Viktor Kovalenko,UKR,MF,Spezia,Serie A,26,1996,18,7,548.0,6.1,0,0,0,0,0,0,1,0,1.6,1.6,0.6,2.2,4.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,0.26,0.09,0.36,0.26,0.36,77804,4045804,1
Emil Krafth,SWE,DF,Newcastle Utd, Premier League,27,1994,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69905,3635081,1
Alex Král,CZE,MF,Schalke 04,Bundesliga,24,1998,29,26,2357.0,26.2,0,0,0,0,0,0,3,0,1.5,1.5,0.7,2.2,41.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.08,0.06,0.08,37640,1957294,2
Andrej Kramarić,CRO,MF,Hoffenheim,Bundesliga,31,1991,32,26,2386.0,26.5,12,4,16,8,4,6,3,0,13.2,8.5,2.2,10.7,49.0,100.0,191.0,0.45,0.15,0.6,0.3,0.45,0.5,0.08,0.58,0.32,0.4,60981,3171036,2
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,31,1991,29,27,2222.0,24.7,0,0,0,0,0,0,4,0,0.4,0.4,2.0,2.4,26.0,79.0,60.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.1,0.01,0.1,73598,3827112,2
Tom Krauß,GER,MF,Schalke 04,Bundesliga,21,2001,32,31,2514.0,27.9,2,0,2,2,0,0,8,0,2.2,2.2,0.9,3.1,35.0,86.0,38.0,0.07,0.0,0.07,0.07,0.07,0.08,0.03,0.11,0.08,0.11,19766,1027853,2
Julian Kristoffersen,NOR,FW,Salernitana,Serie A,25,1997,1,0,18.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,54673,1
Toni Kroos,GER,MF,Real Madrid,La Liga,32,1990,30,25,2155.0,23.9,2,4,6,2,0,0,2,1,1.4,1.4,4.4,5.9,51.0,319.0,38.0,0.08,0.17,0.25,0.08,0.25,0.06,0.19,0.24,0.06,0.24,512665,26658569,2
Rade Krunić,BIH,MF,Milan,Serie A,28,1993,23,18,1657.0,18.4,0,1,1,0,0,0,8,0,1.1,1.1,1.1,2.2,31.0,73.0,21.0,0.0,0.05,0.05,0.0,0.05,0.06,0.06,0.12,0.06,0.12,58458,3039820,0
Max Kruse,GER,MF,Wolfsburg,Bundesliga,34,1988,5,2,272.0,3.0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,4.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.29,0.25,0.29,79907,4155150,1
Lukas Kübler,GER,DF,Freiburg,Bundesliga,29,1992,22,19,1639.0,18.2,2,1,3,2,0,0,1,0,0.9,0.9,0.4,1.3,11.0,57.0,50.0,0.11,0.05,0.16,0.11,0.16,0.05,0.02,0.07,0.05,0.07,5257,273365,0
Takefusa Kubo,JPN,FW,Real Sociedad,La Liga,21,2001,35,29,2439.0,27.1,9,4,13,9,0,0,3,0,5.7,5.7,6.0,11.7,117.0,81.0,239.0,0.33,0.15,0.48,0.33,0.48,0.21,0.22,0.43,0.21,0.43,42056,2186921,2
Dejan Kulusevski,SWE,MF,Tottenham, Premier League,22,2000,30,23,2067.0,23.0,2,7,9,2,0,0,2,0,2.6,2.6,4.7,7.2,87.0,67.0,195.0,0.09,0.3,0.39,0.09,0.39,0.11,0.2,0.31,0.11,0.31,139811,7270161,0
Marash Kumbulla,ALB,DF,Roma,Serie A,22,2000,7,5,259.0,2.9,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,70024,3641224,1
Alou Kuol,AUS,FW,Stuttgart,Bundesliga,21,2000,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4416,229627,1
Khvicha Kvaratskhelia,GEO,FW,Napoli,Serie A,21,2001,34,30,2518.0,28.0,12,10,22,10,2,2,1,0,8.2,6.6,7.7,14.2,139.0,91.0,291.0,0.43,0.36,0.79,0.36,0.71,0.29,0.27,0.56,0.23,0.51,32383,1683929,2
Grejohn Kyei,FRA,FW,Clermont Foot,Ligue 1,26,1995,37,26,2232.0,24.8,10,3,13,6,4,6,3,0,11.7,7.0,1.6,8.6,27.0,37.0,160.0,0.4,0.12,0.52,0.24,0.36,0.47,0.06,0.54,0.28,0.34,6308,328038,2
Daniel Kyereh,GHA,MF,Freiburg,Bundesliga,26,1996,12,7,559.0,6.2,2,0,2,2,0,0,2,0,2.2,2.2,0.3,2.5,5.0,11.0,24.0,0.32,0.0,0.32,0.32,0.32,0.36,0.04,0.4,0.36,0.4,7570,393646,1
Giorgos Kyriakopoulos,GRE,DF,Bologna,Serie A,26,1996,12,8,704.0,7.8,0,2,2,0,0,0,2,0,0.2,0.2,0.8,1.0,21.0,23.0,50.0,0.0,0.26,0.26,0.0,0.26,0.03,0.1,0.13,0.03,0.13,10724,557665,1
César de la Hoz,ESP,MF,Almería,La Liga,30,1992,25,18,1673.0,18.6,1,0,1,1,0,0,6,0,0.4,0.4,0.9,1.3,3.0,49.0,6.0,0.05,0.0,0.05,0.05,0.05,0.02,0.05,0.07,0.02,0.07,7991,415515,0
Luca de la Torre,USA,MF,Celta Vigo,La Liga,24,1998,28,16,1481.0,16.5,0,2,2,0,0,0,6,0,1.1,1.1,1.4,2.4,55.0,62.0,73.0,0.0,0.12,0.12,0.0,0.12,0.07,0.08,0.15,0.07,0.15,5678,295234,0
Gaëtan Laborde,FRA,FW,Nice,Ligue 1,28,1994,33,28,2506.0,27.8,13,3,16,13,0,1,0,0,11.8,11.0,5.8,16.9,54.0,53.0,196.0,0.47,0.11,0.57,0.47,0.57,0.42,0.21,0.63,0.4,0.61,45421,2361875,2
Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,31,1991,35,34,2929.0,32.5,27,5,32,21,6,8,3,0,24.1,17.8,5.4,23.2,40.0,108.0,227.0,0.83,0.15,0.98,0.65,0.8,0.74,0.16,0.91,0.55,0.71,113552,5904687,2
Qazim Laçi,ALB,MF,Ajaccio,Ligue 1,26,1996,9,2,212.0,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.15,0.06,0.15,2734,142150,1
Maxence Lacroix,FRA,DF,Wolfsburg,Bundesliga,22,2000,24,18,1627.0,18.1,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,15.0,83.0,4.0,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,3995,207758,0
Alban Lafont,FRA,GK,Nantes,Ligue 1,23,1999,37,37,3329.0,37.0,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21449,1115330,2
Konrad Laimer,AUT,MF,RB Leipzig,Bundesliga,25,1997,21,17,1468.0,16.3,3,0,3,3,0,0,8,0,2.4,2.4,2.3,4.7,51.0,93.0,52.0,0.18,0.0,0.18,0.18,0.18,0.15,0.14,0.29,0.15,0.29,52570,2733652,0
Stefan Lainer,AUT,DF,M'Gladbach,Bundesliga,29,1992,17,9,817.0,9.1,0,0,0,0,0,0,2,0,0.8,0.8,1.2,2.0,23.0,45.0,39.0,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22,48365,2514959,1
Adam Lallana, ENG,MF,Brighton, Premier League,34,1988,16,12,722.0,8.0,2,1,3,2,0,0,0,0,0.9,0.9,1.0,1.9,10.0,33.0,43.0,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,114391,5948314,1
Vassilis Lambropoulos,GRE,DF,Bochum,Bundesliga,32,1990,15,7,627.0,7.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,8411,437384,1
Érik Lamela,ARG,FW,Sevilla,La Liga,30,1992,32,20,1844.0,20.5,6,0,6,6,0,0,10,1,5.3,5.3,1.4,6.7,66.0,69.0,162.0,0.29,0.0,0.29,0.29,0.29,0.26,0.07,0.33,0.26,0.33,69393,3608420,0
Mohamed Lamine Bayo,GUI,FW,Lille,Ligue 1,24,1998,27,6,651.0,7.2,4,1,5,4,0,0,1,0,3.2,3.2,1.8,5.0,8.0,5.0,48.0,0.55,0.14,0.69,0.55,0.69,0.45,0.25,0.69,0.45,0.69,15140,787292,1
Sam Lammers,NED,FW,Sampdoria,Serie A,25,1997,19,13,1100.0,12.2,1,1,2,1,0,0,1,0,2.5,2.5,1.2,3.7,17.0,19.0,65.0,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.3,0.2,0.3,21659,1126264,0
Tariq Lamptey,GHA,DF,Brighton, Premier League,21,2000,20,3,453.0,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,28.0,26.0,58.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,44485,2313233,1
Manuel Lanzini,ARG,MF,West Ham, Premier League,29,1993,10,2,252.0,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,2.0,19.0,6.0,0.36,0.0,0.36,0.36,0.36,0.19,0.06,0.25,0.19,0.25,88971,4626466,1
Aymeric Laporte,ESP,DF,Manchester City, Premier League,28,1994,12,11,993.0,11.0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,30.0,85.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,152521,7931085,0
Julien Laporte,FRA,DF,Lorient,Ligue 1,28,1993,20,19,1654.0,18.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,9252,481123,0
Yasser Larouci,ALG,DF,Troyes,Ligue 1,21,2001,30,21,1797.0,20.0,1,1,2,1,0,0,1,0,0.5,0.5,1.6,2.2,72.0,63.0,113.0,0.05,0.05,0.1,0.05,0.1,0.03,0.08,0.11,0.03,0.11,421,21869,0
Jordan Larsson,SWE,FW,Schalke 04,Bundesliga,25,1997,11,5,463.0,5.1,0,0,0,0,0,0,0,0,1.2,1.2,0.4,1.7,5.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.24,0.09,0.32,0.24,0.32,33645,1749537,1
Kevin Lasagna,ITA,FW,Hellas Verona,Serie A,29,1992,26,17,1572.0,17.5,1,2,3,1,0,0,2,0,6.0,6.0,1.7,7.7,36.0,19.0,105.0,0.06,0.11,0.17,0.06,0.17,0.35,0.09,0.44,0.35,0.44,27337,1421499,0
Jamaal Lascelles, ENG,DF,Newcastle Utd, Premier League,28,1993,7,2,218.0,2.4,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,50840,2643695,1
Toni Lato,ESP,DF,Valencia,La Liga,24,1997,24,9,914.0,10.2,1,0,1,1,0,0,1,0,0.8,0.8,0.9,1.8,18.0,40.0,47.0,0.1,0.0,0.1,0.1,0.1,0.08,0.09,0.18,0.08,0.18,37009,1924491,1
Danny Latza,GER,MF,Schalke 04,Bundesliga,32,1989,20,8,853.0,9.5,0,1,1,0,0,0,2,0,0.9,0.9,0.2,1.1,11.0,33.0,15.0,0.0,0.11,0.11,0.0,0.11,0.1,0.02,0.12,0.09,0.12,57827,3007017,1
Armand Lauriente,FRA,FW,Sassuolo,Serie A,23,1998,28,27,2175.0,24.2,7,6,13,6,1,1,10,1,4.7,3.9,6.2,10.1,127.0,90.0,263.0,0.29,0.25,0.54,0.25,0.5,0.19,0.26,0.45,0.16,0.42,24182,1257480,2
Lázaro,BRA,FW,Almería,La Liga,20,2002,19,7,716.0,8.0,6,0,6,6,0,0,1,0,4.0,4.0,0.8,4.8,23.0,26.0,59.0,0.75,0.0,0.75,0.75,0.75,0.5,0.1,0.6,0.5,0.6,7570,393646,1
Valentino Lazaro,AUT,DF,Torino,Serie A,26,1996,23,15,1373.0,15.3,0,3,3,0,0,0,4,0,0.4,0.4,2.7,3.1,44.0,74.0,84.0,0.0,0.2,0.2,0.0,0.2,0.03,0.18,0.21,0.03,0.21,40374,2099444,0
Marko Lazetić,SRB,FW,Milan,Serie A,18,2004,1,0,9.0,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.63,0.63,0.63,6729,349907,1
Darko Lazović,SRB,MF,Hellas Verona,Serie A,31,1990,30,27,2242.0,24.9,4,5,9,4,0,0,0,0,3.6,3.6,6.4,10.0,72.0,81.0,167.0,0.16,0.2,0.36,0.16,0.36,0.14,0.26,0.4,0.14,0.4,23341,1213741,2
Manuel Lazzari,ITA,DF,Lazio,Serie A,28,1993,28,22,1879.0,20.9,0,0,0,0,0,0,8,0,0.3,0.3,0.7,1.0,98.0,64.0,74.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,66238,3444401,0
Théo Le Bris,FRA,MF,Lorient,Ligue 1,19,2002,27,15,1452.0,16.1,2,2,4,2,0,0,0,0,1.1,1.1,1.2,2.3,51.0,47.0,103.0,0.12,0.12,0.25,0.12,0.25,0.07,0.07,0.14,0.07,0.14,3785,196823,0
Jérémy Le Douaron,FRA,MF,Brest,Ligue 1,24,1998,32,24,2071.0,23.0,10,3,13,10,0,0,1,0,8.4,8.4,1.7,10.2,38.0,31.0,132.0,0.43,0.13,0.56,0.43,0.56,0.37,0.08,0.44,0.37,0.44,7570,393646,0
Enzo Le Fée,FRA,MF,Lorient,Ligue 1,22,2000,35,35,3028.0,33.6,5,6,11,5,0,0,5,0,3.5,3.5,6.8,10.3,96.0,218.0,105.0,0.15,0.18,0.33,0.15,0.33,0.11,0.2,0.31,0.11,0.31,2103,109346,2
Vincent Le Goff,FRA,DF,Lorient,Ligue 1,32,1989,37,37,3330.0,37.0,0,0,0,0,0,0,1,0,1.2,1.2,0.7,1.8,69.0,178.0,84.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,5257,273365,2
Maxime Le Marchand,FRA,DF,Strasbourg,Ligue 1,32,1989,26,23,2015.0,22.4,0,0,0,0,0,0,6,1,0.6,0.6,0.3,0.9,10.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,8411,437384,0
Robin Le Normand,ESP,DF,Real Sociedad,La Liga,25,1996,33,31,2796.0,31.1,0,0,0,0,0,0,6,0,1.0,1.0,0.1,1.0,26.0,122.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,58879,3061690,2
Rafael Leão,POR,FW,Milan,Serie A,23,1999,35,28,2421.0,26.9,15,8,23,15,0,0,7,1,10.8,10.8,7.0,17.9,136.0,122.0,235.0,0.56,0.3,0.86,0.56,0.86,0.4,0.26,0.66,0.4,0.66,37640,1957294,2
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,36,1985,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7150,371777,1
Benjamin Lecomte,FRA,GK,Espanyol,La Liga,31,1991,10,10,899.0,10.0,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,64977,3378793,1
Jeremías Ledesma,ARG,GK,Cádiz,La Liga,29,1993,34,34,3060.0,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26916,1399630,2
Pierre Lees-Melou,FRA,MF,Brest,Ligue 1,29,1993,32,32,2767.0,30.7,5,5,10,5,0,0,10,1,2.1,2.1,2.3,4.4,33.0,179.0,45.0,0.16,0.16,0.33,0.16,0.33,0.07,0.08,0.14,0.07,0.14,42897,2230660,2
Diogo Leite,POR,DF,Union Berlin,Bundesliga,23,1999,28,26,2254.0,25.0,0,1,1,0,0,0,6,1,0.8,0.8,0.4,1.2,19.0,111.0,14.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.05,0.03,0.05,7150,371777,2
Maxim Leitsch,GER,DF,Mainz 05,Bundesliga,24,1998,9,7,663.0,7.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,19766,1027853,1
Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,31,1991,31,31,2565.0,28.5,4,0,4,4,0,0,6,3,2.8,2.8,0.3,3.1,8.0,80.0,3.0,0.14,0.0,0.14,0.14,0.14,0.1,0.01,0.11,0.1,0.11,29439,1530845,2
Iñigo Lekue,ESP,DF,Athletic Club,La Liga,29,1993,20,14,1321.0,14.7,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,42.0,64.0,59.0,0.0,0.07,0.07,0.0,0.07,0.02,0.05,0.06,0.02,0.06,31542,1640191,0
Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,26,1995,27,17,1252.0,13.9,1,3,4,1,0,0,1,0,0.9,0.9,1.9,2.9,36.0,80.0,79.0,0.07,0.22,0.29,0.07,0.29,0.07,0.14,0.21,0.07,0.21,68341,3553747,0
Félix Lemaréchal,CIV,MF,Brest,Ligue 1,18,2003,13,2,288.0,3.2,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,5.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.19,0.02,0.19,1051,54673,1
Mario Lemina,GAB,MF,Wolves, Premier League,28,1993,19,17,1299.0,14.4,0,1,1,0,0,0,4,1,0.3,0.3,0.3,0.6,6.0,42.0,9.0,0.0,0.07,0.07,0.0,0.07,0.02,0.02,0.04,0.02,0.04,172010,8944508,0
Tim Lemperle,GER,FW,Köln,Bundesliga,20,2002,12,0,132.0,1.5,0,0,0,0,0,0,0,0,0.1,0.1,1.0,1.2,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.08,0.71,0.79,0.08,0.79,841,43738,1
Clément Lenglet,FRA,DF,Tottenham, Premier League,27,1995,26,24,2019.0,22.4,0,2,2,0,0,0,4,0,1.0,1.0,0.6,1.6,33.0,85.0,7.0,0.0,0.09,0.09,0.0,0.09,0.04,0.03,0.07,0.04,0.07,184296,9583394,0
Bernd Leno,GER,GK,Fulham, Premier League,30,1992,36,36,3240.0,36.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114391,5948314,2
Christopher Lenz,GER,DF,Eint Frankfurt,Bundesliga,27,1994,24,13,1290.0,14.3,0,2,2,0,0,0,1,0,0.6,0.6,2.6,3.1,30.0,63.0,67.0,0.0,0.14,0.14,0.0,0.14,0.04,0.18,0.22,0.04,0.22,15140,787292,0
